Films,Year,Rating,Gross_earning (in millions)
The Godfather,1972,9.2,134.97
The Shawshank Redemption,1994,9.3,28.34
Schindler's List,1993,9,96.9
Ragin Bull,1980,8.2,23.38
Casablanca,1942,8.5,1.02
Citizen Kane,1941,8.3,1.59
Gone with the Wind,1939,8.2,198.68
The Wizard of Oz,1939,8.1,2.08
One Flew Over the Cuckoo's Nest,1975,8.7,112
Lawrence of Arabia,1962,8.3,44.82
Vertigo,1958,8.3,3.2
Psycho,1960,8.5,32
The Godfather: Part II,1974,9,57.3
On the Waterfront,1954,8.1,9.6
Sunset Blvd,1950,8.4,5
Forrest Gump,1994,8.8,330.25
The Sound of Music,1965,8.1,163.21
12 Angry Men,1957,9,4.36
West Side Story,1961,7.6,43.66
Star Wars,1977,8.6,322.74
2001: A Space Odyssey,1968,8.3,56.95
E.T. the Extra-Terrestrial,1982,7.9,435.11
The Silence of the Lambs,1991,8.6,130.74
Chinatown,1974,8.2,8.49
The Bridge on the River Kwai,1957,8.2,44.91
Singin' in the Rain,1952,8.3,8.82
It's a Wonderful Life,1946,8.6,6.64
Dr.Strangelove,1964,8.4,0.28
Some Like It Hot,1959,8.2,25
Ben-Hur,1959,8.1,74.7
Apocalypse Now,1979,8.5,83.47
Amadeus,1984,8.4,51.97
The Lord of the Rings,2003,9,377.85
Gladiator,2000,8.5,187.71
Titanic,1997,7.9,659.33
From Here to Eternity,1953,7.6,30.5
Saving Private Ryan,1998,8.6,216.54
Unforgiven,1992,8.2,101.16
Indiana Jones and the Raiders of the Lost Ark,1981,8.4,248.16
Rocky,1976,8.1,117.24
A Streetcar Named Desire,1951,7.9,8
The Philadelphia Story,1940,7.9,3.3
To Kill a Mockingbird,1962,8.3,13.13
An American in Paris,1951,7.2,4.5
The Best Years of Our Lives,1946,8.1,23.65
My Fair Lady,1964,7.8,72
A Clockwork Orange,1971,8.3,6.21
Doctor Zhivago,1965,7.9,111.72
The Searchers,1956,7.9,4.8
Jaws,1975,8.1,260
Patton,1970,7.9,61.7
Butch Cassidy and the Sundance Kid,1969,8,102.31
The Treasure of the Sierra Madre,1948,8.2,5.01
"The Good, the Bad and the Ugly",1966,8.8,6.1
The Apartment,1960,8.3,18.6
Platoon,1986,8.1,138.53
High Noon,1952,8,9.45
Braveheart,1995,8.4,75.6
Dances with Wolves,1990,8,184.21
Jurassic Park,1993,8.2,402.45
The Exorcist,1973,8.1,232.91
The Pianist,2002,8.5,32.57
Goodfellas,1990,8.7,46.84
The Deer Hunter,1978,8.1,48.98
All Quiet on the Western Front,1930,8.1,3.27
Bonnie and Clyde,1967,7.7,70
The French Connection,1971,7.7,15.63
City Lights,1931,8.5,0.02
It Happened One Night,1934,8.1,4.36
A Place in the Sun,1951,7.7,0.1
Midnight CowBoy,1969,7.8,44.79
Mr.Smith Goes to Washington,1939,8.1,9.6
Rain Man ,1988,8,178.8
Annie Hall,1977,8,39.2
Fargo,1996,8.1,24.61
Giant,7.6,7.6,30.2
Shane,1953,7.6,20
The Grapes of Wrath,1940,8.1,0.06
The Green Mile,1990,8.6,136.8
Close Encounters of the Third Kind,1977,7.6,132.09
Nashville,1975,7.7,14.82
Network,1976,8.1,23.7
The Graduate,1967,8,104.95
American Graffiti,1973,7.4,115
Pulp Fiction,1994,8.9,107.93
Terms of Endearment,1983,7.4,108.42
Good Will Hunting,1997,8.3,138.43
The African Queen,1951,7.7,0.54
Stagecoach,1939,7.8,1
Mutiny on the Bounty,1935,7.7,13.6
The Great Dictator,1940,8.4,0.29
Double Indemnity,1944,8.3,5.72
The Maltese Falcon,1941,8,2.11
Wuthering Heights,1939,7.5,0.76
Taxi Driver,1976,8.2,28.26
Rear Window ,1954,8.5,36.76
The Third Man ,1949,8.1,0.45
Rebel Without a Cause,1955,7.6,4.5
North by Northwest,1959,8.3,13.28
Yankee Doodle Dandy ,1942,7.6,11.8
